Elemento,Descripcion,Banco
NorthStar,"$5.000 descuento en tiendas presenciales y ​ válido para compra de un artículo por un precio superior o igual a $30.000

Condiciones
Para hacer válido el descuento debes: 

Generar tu código en , eligiendo la marca, ingresando tu e-mail, los 6 primeros números de tu Tarjeta BancoEstado y el canal en el cual vas a comprar (online o presencial).
El código de descuento será enviado a tu email. 
Para hacer efectivo el descuento, en los sitios web debes ingresar tu código antes de pagar y presencial debes mencionarlo antes de realizar el pago.
Valido por compra de un artículo por un precio superior o igual a $30.000.
Descuento no aplica para Cyber Day, Monday y Black Friday.
Aplica con
Tarjetas de Crédito y Débito BancoEstado.

Vigencia
Vigencia desde 13 de enero al 31 de diciembre de 2025.",BancoEstado
bubble Gummers,"$5.000 descuento en tiendas presenciales y válido para compra de un artículo por un precio superior o igual a $30.000

Condiciones
Para hacer válido el descuento debes: 

Generar tu código en , eligiendo la marca, ingresando tu e-mail, los 6 primeros números de tu Tarjeta BancoEstado y el canal en el cual vas a comprar (online o presencial).
El código de descuento será enviado a tu email. 
Para hacer efectivo el descuento, en los sitios web debes ingresar tu código antes de pagar y presencial debes mencionarlo antes de realizar el pago.
Valido por compra de un artículo por un precio superior o igual a $30.000.
Descuento no aplica para Cyber Day, Monday y Black Friday.
Aplica con
Tarjetas de Crédito y Débito BancoEstado.

Vigencia
Vigencia desde 13 de enero al 31 de diciembre de 2025.",BancoEstado
Weinbrenner,"$5.000 descuento en tiendas presenciales Weinbrenner y en el sitio web 
Válido para compra de un artículo por un precio superior o igual a $50.000

Condiciones
Para hacer válido el descuento debes: 

Generar tu código en , eligiendo la marca, ingresando tu e-mail, los 6 primeros números de tu Tarjeta BancoEstado y el canal en el cual vas a comprar (online o presencial).
El código de descuento será enviado a tu email. 
Para hacer efectivo el descuento, en los sitios web debes ingresar tu código antes de pagar y presencial debes mencionarlo antes de realizar el pago.
Valido por compra de un artículo por un precio superior o igual a $30.000.
Descuento no aplica para Cyber Day, Monday y Black Friday.
Aplica con
Tarjetas de Crédito y Débito BancoEstado.

Vigencia
Vigencia desde 13 de enero al 31 de diciembre de 2025.",BancoEstado
Red Salud,"10% de descuento en los siguientes exámenes de prevención del cáncer cervicouterino y próstata:

Mujeres

VPH (Virus del Papiloma Humano)
Hemograma y VHS
Mamografía
Hombres:

PSA( Antígeno Prostático Específico)
Hemograma y VHS
Condiciones
Para hacer válido el descuento debes dirigirte a los centros médicos de RedSalud en donde al momento de pagar, debes mencionar el descuento BancoEstado, y pagar con tu tarjeta Tarjeta Débito o Crédito BancoEstado.

La promoción no es acumulable con otras ofertas, descuentos, promociones, o paquetes promocionales. 
Aplica con
Tarjetas de Crédito y Débito BancoEstado.

Vigencia
Desde el 01 de febrero hasta el 31 de marzo del 2025.",BancoEstado
Red Salud,"4 a 24 cuotas sin interés en todos los centros RedSalud adheridos a la promoción. Compras realizadas por Transbank.

Condiciones
Tus Tarjetas de Crédito BancoEstado.
Si pagas $1.000.000 en 24 cuotas. Valor cuota $41.667, CAE 0,77%, CTC $1.008.008

Vigencia
Vigencia desde el 01 de enero al 30 de Junio de 2025.",BancoEstado
Examedi,"20% descuento en Telemedicina 24/7 y especialidades, reembolsable en Isapre.

Condiciones
Para que el descuento se haga efectivo, debes realizar los siguientes pasos:

1. Ingresa a www.examedi.cl/bancoestado 
2.- Selecciona tu dirección y Telemedicina.​
3.- Indica tu previsión e ingresa como código de descuento en el carrito de compra los primeros 6 números de tu Tarjeta BancoEstado.​
4.- Selecciona el horario de atención que más te acomode.​
5.- Agrega los datos personales.​
6.- tendrás agendada tu atención de Telemedicina.
Aplica con
Tarjetas de Crédito y Débito BancoEstado.

Vigencia
Desde el 1 de enero al 31 de diciembre del 2025.",BancoEstado
Examedi,"20% descuento en exámenes de laboratorio a domicilio, reembolsable en Isapre y FONASA.

Condiciones
Para que el descuento se haga efectivo, debes realizar los siguientes pasos:

1. Ingresa a 
2.- Selecciona tu dirección y exámenes a solicitar.​
3.- Indica tu previsión e ingresa como código de descuento en el carrito de compra los primeros 6 números de tu Tarjeta BancoEstado.​
4.- Selecciona el horario de atención que más te acomode.​
5.- Agrega los datos personales.​
6.- Tendrás agendados tus exámenes a domicilio.
 
Disponibilidad para exámenes de laboratorio a domicilio:
Región Metropolitana, Coquimbo, Valparaíso y La Serena.
Descuento no acumulable con otros descuentos y beneficios.
Aplica con
Tarjetas de Crédito y Débito BancoEstado.

Vigencia
Desde el 01 de enero al 31 de diciembre del 2025.
----------------------------------------------------",BancoEstado
Club Softys,"Detalle
40% dto. todos los días miércoles, en productos seleccionados en Club Softys.

Condiciones
Todos los días miércoles, en productos seleccionados, ingresando el código BECLUBSOFTYS antes de pagar con tus Tarjetas BancoEstado, no es acumulable con otras promociones y excluye Packs y productos Outlet.

Aplica con
Tarjetas de Crédito y Débito BancoEstado.

Vigencia
Los días miércoles desde el 1 de febrero al 31 de diciembre de 2025.",BancoEstado
Lipigas,"Detalle
Descuentos en cilindros Lipigas utilizando Tus Tarjetas BancoEstado:

Cilindro de 5kg: $1.000 descuento, más $500 si pagas por la App.
Cilindro de 11kg: $2.500 descuento, más $500 si pagas por la App.
Cilindro de 15kg: $3.000 descuento, más $500 si pagas por la App.
Cilindro de 45kg: $7.000 descuento, más $500 si pagas por la App.
Condiciones
Solo debes ingresar los 6 números de tu Tarjeta BancoEstado antes de pagar, adicionalmente, si pagas a través del botón BancoEstado, tienes $1.000 de descuento en el total de tu compra.

Descuento válido solo por LipiApp MiCilindro, disponible en tiendas App Store y Google Play.
Máximo 2 compras al mes y 2 cargas por compra.
Aplica con
Tarjetas de Crédito y Débito BancoEstado.

Vigencia
Vigencia desde 13 de enero hasta el 31 de diciembre de 2025.",BancoEstado
PCFactory,"Detalle
El precio en efectivo será el “precio efectivo” o “precio oferta efectivo” indicado en cada producto y corresponde a un descuento de hasta un 5% sobre el precio normal o sobre precio de oferta.

Donde
Descuento disponible en tiendas pc Factory y en página web 

Para aplicar el beneficio, debes mencionar el convenio BancoEstado en tiendas presenciales. En la página web al momento de pagar debes ingresar en el botón Compraquí de BancoEstado y el descuento se hará automático.
Aplica con
Tarjetas de Crédito y Débito BancoEstado.

Vigencia
Vigencia desde el 1 de enero al 31 de diciembre de 2025.",BancoEstado
PCFactory,"Detalle
4 a 24 cuotas sin interés en tiendas pc Factory adheridas a Transbank o en  con Compraquí.

Condiciones
Ejemplo: si pagas $1.000.000 en 24 cuotas. Valor cuota $41,667, CAE 0,77%, CTC $1.008.008

Aplica con
Tarjetas de Crédito BancoEstado.

Vigencia
Vigencia desde el 01 de enero al 30 de Junio de 2025.",BancoEstado
