"Giani Dafirenze - Descuento
30% descuento
Miércoles - Estilo y Calidad","Descripción del Beneficio
Tarjetas de Crédito Infinite, Signature y Black Bci.
30% de descuento todos los miércoles. Exclusivo pagando con Tarjetas de Crédito Bci Bci Signature, Infinite y Mastercard Black. Para compras presenciales pedir el descuento antes de pagar, para compras online ingresa los primeros 6 dígitos de tu tarjeta. No acumulable con otras promociones y/o descuentos."
"AliExpress
Hasta
2% cashback
Tienda online de artículos de electrónica moda hogar informática infantil y más.","Descripción del Beneficio
Exclusivo con Tarjetas de Débito o Crédito Bci
""El cashback no considera costos de envío ni adicionales.
No acumulable con otras promociones.
Para compras presenciales, solicita tu beneficio al pagar. 
Sujeto a disponibilidad. 
Revisa las condiciones especiales en “Condiciones de la oferta”. """
"Local Burger - Descuento
40% descuento
Todos los viernes - Las Condes - Providencia - Nunoa","Descripción del Beneficio
Exclusivo con tus Tarjetas de Crédito Bci.
Descuento exclusivo pagando con Tarjetas de Crédito Bci.
Para compra presencial se aplicará el 40% de descuento al momento de pagar en el comercio con un tope máximo de $40.000 por cliente.
Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra.
Descuento no aplica sobre el costo de propina.
No acumulable con otras promociones y/o descuentos.
Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta Líder Bci."
"Salcobrand - Descuento
20% descuento
Lunes y martes todo lo que necesitas en un solo lugar","Descripción del Beneficio
Exclusivo con tus Tarjetas de Crédito Bci para compras presenciales.
Descuento exclusivo en productos seleccionados pagando con Tarjetas de Crédito Bci.
Para compra presencial se aplicará el 20% de descuento al momento de pagar en el comercio con un tope máximo de $20.000 por cliente.
Para hacer efectivo el descuento Bci, debes solicitarlo en el mesón antes de realizar la compra.
No acumulable con otras promociones y/o descuentos."
"Shein
Hasta
1% cashback
Moda belleza hogar y accesorios.","Descripción del Beneficio
Exclusivo con Tarjetas de Débito o Crédito Bci.
""- No cierres el link ni cambies de pestaña.
- El cashback no considera costos de envío ni adicionales.
- No acumulable con otras promociones.
- Para compras presenciales, solicita tu beneficio al pagar. 
- Sujeto a disponibilidad. 
- Revisar las condiciones especiales en “Condiciones de la oferta”. """
"HyM
Hasta
1% cashback
Moda belleza y accesorios en tendencia.","Descripción del Beneficio
Exclusivo pagando con Tarjetas de Débito o Crédito Bci
""El cashback no considera costos de envío ni adicionales.
No acumulable con otras promociones.
Para compras presenciales, solicita tu beneficio al pagar. 
Sujeto a disponibilidad. 
Revisa las condiciones especiales en “Condiciones de la oferta”."""
"Starbucks - Descuento
30% descuento
Lunes","Descripción del Beneficio
Tarjetas de crédito o débito
30% descuento todos los lunes en bebidas preparadas en barra en tiendas Starbucks. Debes solicitar tu descuento al momento de pagar con tus Tarjetas de Débito o Crédito de Bci. No acumulable con otras promociones. No válido en café en granos, alimentos y productos retail. Beneficio es válido en locales que se encuentren en Chile, para clientes que paguen en tiendas Starbucks con Tarjetas de Débito o Crédito Bci. La entrega de los beneficios se realiza en el punto de venta y es de exclusiva responsabilidad de Starbucks Coffee Chile S.A., no cabiéndole a Bci responsabilidad alguna en ello, ni en la ulterior atención que ello demande. Infórmese sobre la garantía estatal de los depósitos en su Banco o en http://www.cmfchile.cl"
"Tasa preferencial en Salud
10 a 12 cuotas","Descripción del Beneficio
En todos los comercios de salud
Tarjetas de Crédito Bci Gold, Platinum y empresario tasa de 0,99%
Tarjetas de Crédtio Bci Signature, Infinite y Black tasa de 0,79%"
"Tasa preferencial en Inmobiliarias
24 a 36 cuotas","Descripción del Beneficio
En todas las inmobiliarias
Tarjetas de Crédito Bci Gold, Platinum y empresario tasa de 0,99%
Tarjetas de Crédtio Bci Signature, Infinite y Black tasa de 0,79%"
"Tasa Preferencial en Automotriz
18 a 36 cuotas","Descripción del Beneficio
En todos las automotoras
Tarjetas de Crédito Bci Gold, Platinum y empresario tasa de 0,99% en compras hasta $10.000.000
Tarjetas de Crédtio Bci Signature, Infinite y Black tasa de 0,79% en compras hasta $20.000.000"
"PizzaPizza
Hasta
20% cashback
Pizza individual y familiar costillitas de cerdo y mucho más para servir o llevar.","Descripción del Beneficio
Esta oferta puede tener un tope máximo.
Exclusivo pagando con Tarjetas de Débito o Crédito Bci
""- El cashback no considera costos de envío ni adicionales.
- No acumulable con otras promociones.
- Para compras presenciales, solicita tu beneficio al pagar. 
- Sujeto a disponibilidad. 
- Revisar las condiciones especiales en “Condiciones de la oferta”. """
"Huawei
Hasta
1% cashback
Audio routers celulares PC tablets relojes inteligentes y más.","Descripción del Beneficio
Exclusivo pagando con Tarjetas de Débito o Crédito Bci
""El cashback no considera costos de envío ni adicionales.
No acumulable con otras promociones.
Para compras presenciales, solicita tu beneficio al pagar. 
Sujeto a disponibilidad. 
Revisa las condiciones especiales en “Condiciones de la oferta”."""
"App McDonalds - Descuento
40% descuento
Todos los Martes en tu App de McDonalds","Descripción del Beneficio
Exclusivo con tus Tarjetas de Crédito o Débito Bci.
40% de descuento sin tope todos los martes en la App McDonald’s, con una compra mínimas de $10.000, pagando con Tarjetas Bci, MACHBANK y Lider Bci por la App de McDonald's. vigente desde el 18/03/25 al 28/04/25. Aplica solo para pedidos a través de la App para retiro en Locales o consumo en Locales. No aplica a Delivery."
"Temu
Hasta
5% cashback
Productos marcas y herramientas en tendencia.","Descripción del Beneficio
Exclusivo pagando con Tarjetas de Débito o Crédito Bci
""El cashback no considera costos de envío ni adicionales.
No acumulable con otras promociones.
Para compras presenciales, solicita tu beneficio al pagar. 
Sujeto a disponibilidad. 
Revisa las condiciones especiales en “Condiciones de la oferta”.""
Verás tu cashback por validar en BciPlus+ en máximo 3 días, una vez validado podrá ser abonado a tu cuenta."
"Mercados en PedidosYa La Roja - Descuento
50% descuento
Jueves 20 y martes 25 de Marzo","Descripción del Beneficio
Pagando con Tarjeta de Crédito Bci
Jueves 20 y martes 25 de Marzo obtén un 50% de descuento en PedidosYa Market
Límite máximo de descuento diario de $5.000 por compras en la Aplicación o web de PedidosYa pagando con Tarjetas de Crédito Bci. 
Válido solo para una compra diaria por usuario."
"Don Pedro - Descuento
40% descuento
Viernes - Temuco","Descripción del Beneficio
Exclusivo con tus Tarjeta de Crédito Bci.
Descuento exclusivo pagando con Tarjetas de Crédito Bci.
Para compra presencial se aplicará el 40% de descuento al momento de pagar en el comercio con un tope máximo de $40.000 por cliente.
Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra.
Descuento no aplica sobre el costo de propina.
No acumulable con otras promociones y/o descuentos.
Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta Líder Bci."
"Mamut - Descuento
40% descuento
Viernes - todos los locales","Descripción del Beneficio
Exclusivo con tus Tarjeta de Crédito Bci.
Descuento exclusivo pagando con Tarjetas de Crédito Bci.
Para compra presencial se aplicará el 40% de descuento al momento de pagar en el comercio con un tope máximo de $30.000 por cliente.
Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra.
Descuento no aplica sobre el costo de propina.
No acumulable con otras promociones y/o descuentos."
"Latin Grill - Descuento
50% descuento
Jueves - Las Condes","Descripción del Beneficio
Exclusivo con tus Tarjeta de Crédito Bci (desde las 18:00 hrs).
Descuento exclusivo pagando con Tarjetas de Crédito Bci.
Para compra presencial se aplicará el 50% de descuento al momento de pagar en el comercio sin tope por cliente.
Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra.
Descuento no aplica sobre el costo de propina.
No acumulable con otras promociones y/o descuentos."
"La Cocina de Javier - Descuento
40% descuento
Miercoles - Vitacura","Descripción del Beneficio
Tarjetas de crédito del Bci
Descuento exclusivo pagando con Tarjetas de Crédito Bci.
Para compra presencial se aplicará el 40% de descuento al momento de pagar en el comercio con un tope máximo de $40.000 por cliente.
Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra.
Descuento no aplica sobre el costo de propina.
No acumulable con otras promociones y/o descuentos."
"Rocker Burger - Descuento
40% descuento
Sábado - Talca","Descripción del Beneficio
Exclusivo con tus Tarjeta de Crédito Bci.
Descuento exclusivo pagando con Tarjetas de Crédito Bci.
Para compra presencial se aplicará el 40% de descuento al momento de pagar en el comercio con un tope máximo de $40.000 por cliente.
Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra.
Descuento no aplica sobre el costo de propina.
No acumulable con otras promociones y/o descuentos."
"P.F Changs - Descuento
40% descuento
Martes - Todos los locales","Descripción del Beneficio
Exclusivo con tus Tarjeta de Crédito Bci.
Descuento exclusivo pagando con Tarjetas de Crédito Bci.
Para compra presencial se aplicará el 40% de descuento al momento de pagar en el comercio con un tope máximo de $40.000 por cliente.
Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra.
Descuento no aplica sobre el costo de propina.
No acumulable con otras promociones y/o descuentos."
"Café Pistacho - Descuento
40% descuento
Sábado - Osorno","Descripción del Beneficio
Exclusivo con tus Tarjeta de Crédito Bci.
Descuento exclusivo pagando con Tarjetas de Crédito Bci.
Para compra presencial se aplicará el 40% de descuento al momento de pagar en el comercio con un tope máximo de $40.000 por cliente.
Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra.
Descuento no aplica sobre el costo de propina.
No acumulable con otras promociones y/o descuentos."
"Raidho - Descuento
40% descuento
Jueves y Domingo - Talca","Descripción del Beneficio
Exclusivo con tus Tarjeta de Crédito Bci.
Descuento exclusivo pagando con Tarjetas de Crédito Bci.
Para compra presencial se aplicará el 40% de descuento al momento de pagar en el comercio con un tope máximo de $40.000 por cliente.
Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra.
Descuento no aplica sobre el costo de propina.
No acumulable con otras promociones y/o descuentos."
"Majka Bistro - Descuento
40% descuento
Jueves - La Reina","Descripción del Beneficio
Exclusivo con tus Tarjetas de Crédito Bci.
Descuento exclusivo pagando con Tarjetas de Crédito Bci.
Para compra presencial se aplicará el 40% de descuento al momento de pagar en el comercio con un tope máximo de $40.000 por cliente.
Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra.
Descuento no aplica sobre el costo de propina.
No acumulable con otras promociones y/o descuentos.
Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta Líder Bci."
"Malva Loca - Descuento
40% descuento
Jueves - Vitacura","Descripción del Beneficio
Exclusivo con tus Tarjetas de Crédito Bci.
Descuento exclusivo pagando con Tarjetas de Crédito Bci.
Para compra presencial se aplicará el 40% de descuento al momento de pagar en el comercio con un tope máximo de $40.000 por cliente.
Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra.
Descuento no aplica sobre el costo de propina.
No acumulable con otras promociones y/o descuentos.
Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta Líder Bci."
"ConserBar - Descuento
40% descuento
Viernes - Providencia","Descripción del Beneficio
Exclusivo con tus Tarjeta de Crédito Bci.
Descuento exclusivo pagando con Tarjetas de Crédito Bci.
Para compra presencial se aplicará el 40% de descuento al momento de pagar en el comercio con un tope máximo de $40.000 por cliente.
Para hacer efectivo el descuento Bci, debes solicitarlo en el restaurante antes de realizar la compra.
Descuento no aplica sobre el costo de propina.
No acumulable con otras promociones y/o descuentos.
Se excluyen de este beneficio Tarjetas de Crédito Corporate, tarjetas emitidas por filiales y sociedades de apoyo al giro de Bci, como Tarjeta Líder Bci."
